id,timestamp,text,speaker,reply_to,conversation_id,meta.receiver,meta.absolute_message_index,meta.relative_message_index,meta.year,meta.game_score,meta.game_score_delta,intent
Game2-england-austria-117,2896,You seem pretty well entrenched,austria-Game2,Game2-england-austria-116,Game2-england-austria,england-Game2,2896,117,1906,7,0,0
Game4-turkey-russia-72,990,"If what you say about you and Austria not having an alliance anymore is true, then it looks like you don't have any friends at all close to you. And I know you're feeling very strong right now, but you will lose all of that if you don't have a powerful alliance. We are both strong countries, and a war would basically mean both of us getting put out of the game",russia-Game4,Game4-turkey-russia-71,Game4-turkey-russia,turkey-Game4,990,72,1904,6,0,1
Game10-england-germany-116,738,I think you should move F Swe - Bot as a bounce before you delete the unit.,england-Game10,Game10-england-germany-115,Game10-england-germany,germany-Game10,738,116,1905,7,0,0
Game1-england-france-84,325,Yes- I would very much love to see that. And the best part is that you get to see my super friendly builds before you decide on anything.,france-Game1,Game1-england-france-83,Game1-england-france,england-Game1,325,84,1901,5,1,0
Game3-england-germany-407,1855,Thanks for checking!!,germany-Game3,Game3-england-germany-406,Game3-england-germany,england-Game3,1855,407,1909,8,0,0
Game1-turkey-austria-6,200,Done,turkey-Game1,Game1-turkey-austria-5,Game1-turkey-austria,austria-Game1,200,6,1901,3,0,1
Game12-turkey-russia-198,580,Updated moves,russia-Game12,Game12-turkey-russia-197,Game12-turkey-russia,turkey-Game12,580,198,1904,8,-1,1
Game4-england-germany-70,469,"If you surrender Denmark to me, I will help you survive France's push. I am not going to involve myself in this war for either side without immediately tangible benefits. France is a difficult invasion for me, and I've spent a lot of time in the North Sea with no new land.",england-Game4,Game4-england-germany-69,Game4-england-germany,germany-Game4,469,70,1902,4,-1,1
Game4-austria-russia-12,260,"Don't believe Turkey, I said nothing of the sort. I imagine he's just trying to cause an upset between us.",austria-Game4,Game4-austria-russia-11,Game4-austria-russia,russia-Game4,260,12,1901,3,-1,1
Game4-austria-germany-3,40,Any further action you might want to take together?,germany-Game4,Game4-austria-germany-2,Game4-austria-germany,austria-Game4,40,3,1901,3,0,1
Game6-england-france-1,20,"I do like the prospect of an alliance between our two nations. Maybe to take out germany? Have you heard anything from them? 

In any case, I think we should arrange a DMZ in the english channel. It will allow both of our fleets to be more effective in places where they could do a lot more. Let me know what you think.

 Looking forwards to a great game! -France",france-Game6,Game6-england-france-0,Game6-england-france,england-Game6,20,1,1901,3,0,1
Game12-germany-russia-1,85,"Hello! I'm looking forward to a fun game as well. I usually see good things happen when Russia and Germany work together, so I hope we can both help each other in our initial plans. I'm assuming you're gonna try and attack Scandinavia first? Let me know your thoughts, and I look forward to us working well together",germany-Game12,Game12-germany-russia-0,Game12-germany-russia,russia-Game12,85,1,1901,3,-1,1
Game3-england-germany-95,680,I think after this turn we need to start making wedding plans lol,england-Game3,Game3-england-germany-94,Game3-england-germany,germany-Game3,680,95,1902,5,0,1
Game11-turkey-austria-210,1049,"Not probable, but possible.  but it makes sense, he's giving me the hard sell to attack you and offering all sorts of long term assistance.",turkey-Game11,Game11-turkey-austria-209,Game11-turkey-austria,austria-Game11,1049,210,1905,6,0,1
Game8-turkey-france-117,816,"What I was/am trying to avoid is a scenario in which you (a) work with Germany and (b) send way more strength to the Med than you can actually use.  I was concerned, since I had continually offended you, that you were going to go full-on spite against me!  Since it would appear that you're not going to do that, ok.  As iron sharpens iron, I will fight you in the Med over the remaining dots!  Perhaps we'll both learn something!  And while I was genuinely willing to hold what I currently have, I will tell you the truth that I am going to continue the attack!",turkey-Game8,Game8-turkey-france-116,Game8-turkey-france,france-Game8,816,117,1908,10,-2,0
Game5-germany-france-9,281,Sure,france-Game5,Game5-germany-france-8,Game5-germany-france,germany-Game5,281,9,1903,6,4,1
Game1-england-italy-179,1427,I don’t know anything specific. She’s just asking for my thoughts. I have not responded.,italy-Game1,Game1-england-italy-178,Game1-england-italy,england-Game1,1427,179,1906,8,3,1
Game4-turkey-russia-3,97,"I think we should leave the Black Sea as a DMZ, as I would like to 100% ensure I get Rum and I'm worried about Austria taking it. So if we can agree to leave it as a DMZ I can move my fleet to rum",russia-Game4,Game4-turkey-russia-2,Game4-turkey-russia,turkey-Game4,97,3,1901,4,1,1
Game6-germany-france-9,60,"Enland isn't talking that much. They have communicated to me about an alliance with you, but I feel like they arn't that involved in this game and wouldn't be a good ally. For this reason I think we should work together to take them out",france-Game6,Game6-germany-france-8,Game6-germany-france,germany-Game6,60,9,1901,3,0,1
Game12-turkey-russia-353,895,"Yep, taking Hol means Ruh falls which opens up the delicious wines of Burgundy!",turkey-Game12,Game12-turkey-russia-352,Game12-turkey-russia,russia-Game12,895,353,1907,12,1,0
Game4-austria-france-38,516,"Cool- makes sense. It has been very quiet lately, which is concerning me greatly.",france-Game4,Game4-austria-france-37,Game4-austria-france,austria-Game4,516,38,1902,6,2,0
Game10-england-france-13,434,"Neutrality in exchange for current holdings, Spain, and Portugal. You can hold Paris and marseille with just armies of Italy backs off",england-Game10,Game10-england-france-12,Game10-england-france,france-Game10,434,13,1902,5,1,0
Game3-england-italy-103,1018,😱,england-Game3,Game3-england-italy-102,Game3-england-italy,italy-Game3,1018,103,1904,6,1,0
